,N.º,Título,Duración,Álbum,Título_v2,Letra
112,8.,Medicine (con Blake Shelton),3:21,Shakira,Medicine,"16 ContributorsTranslationsEspañolMedicine Lyrics[Verse 1: Shakira, Blake Shelton, Both]
And I feel like I'm losing my mind
Banging my head up against the wall
Staring at nothing 'cause I can't sleep at night
Can't make it stop, yeah, I think too much
What do I do? Falling apart
I need a shock straight to my heart
No one would want to be in my shoes right now, oh

[Chorus: Shakira, Blake Shelton, Both]
I don't reach for the bottle of whiskey (Straight on the rocks)
But you won't see me popping the pills (P-p-p-popping the pills)
'Cause if I want the pain to go away
In a second, make it fade
You're the only thing that will
You're my medicine, medicine
My m-m-medicine, medicine
My m-m-medicine

[Verse 2: Blake Shelton, Shakira, Both]
You know you're an expert at complicating things
(That's how I'm wired, believe me, it's no fun)
But you make the war seem like such an easy game
(Kiss me and my arguments come undone)
Down in the trenches, you are the white flag
Make me surrender, want you so bad
Baby, don't stop what you started
Don't ever be done, oh
You might also like[Chorus: Both, Blake Shelton]
I don't reach for the bottle of whiskey
(Straight on the rocks)
But you won't see me popping the pills
(P-p-popping the pills)
'Cause if I want the pain to go away
In a second, make it fade
You're the only thing that will
You're my medicine, medicine
My m-m-medicine, medicine
My m-m-medicine

[Bridge: Shakira, Both]
You make it all better, better
You make me feel home
You make it all better, better
You make me feel home

[Chorus: Shakira, Both]
I don't reach for the bottle of whiskey
No, you won't see me popping the pills
'Cause if I want the pain to go away
In a second, make it fade
You're the only thing that will
You're my m-m-medicine, medicine
My m-m-medicine, medicine
My m-m-medicine
[Outro: Both, Shakira]
You make it all better, better
You make me feel home
You make it all better, better
You make me feel home
You make it all better, better
You make me feel home
You make it all better, better
You make me feel home
You're my m-m-medicine7Embed"
113,9.,23,4:00,Shakira,23,"17 ContributorsTranslationsEspañol23 Lyrics[Verse 1]
Everybody needs an anchor
A little something that makes you stay
An incentive, someone to fight for
Cause no one really needs so much space

A couple years ago I was lonely
I used to think that there was no God
But then you looked at me with your blue eyes
And my agnosticism turned into dust

[Pre-Chorus]
How well you know me
That I don’t care if the rest don’t
It doesn’t matter to me, no ohh
Oh-oh-oh and as long as you love me
As long as we still have each other

[Chorus]
I knew we had something
From the moment I met you
I knew we had something
No one thought it could be true
Hey do you believe
Do you believe in destiny?
Cause I do as I did then
When you were only 23
Pararapa-pararapa pararapa-pararapa pararapa-pararapa
Ahh- ahh
You might also like[Verse 2]
God knows that I’m a good dancer
My feet can move to the music he plays
But there were times I asked for an answer
When he was acting in mysterious ways

There were nights that I stayed up crying
Cause I was certain that things wouldn't change
But then you came and I saw you smiling
Just like an angel, so beautifully strange

[Pre-Chorus]
And then you touched me
It's like you were made for me, oh-oh
Like it was all meant to be, oh-oh
And I was sure that you would love me
And that we'd always have each other

[Chorus]
I knew we had something
From the moment I met you
I knew we had something
No one thought it could be true
Hey do you believe
Do you believe in destiny?
Cause I do as I did then
When you were only 23
Pararapa-pararapa pararapa-pararapa pararapa-pararapa
Ohh- ohh
[Bridge]
Always thought that I was fine but I was wrong
It was you, that one piece I was missing
And I could do without you but, it'd be no fun
I found you and life was suddenly easy
There ain't no worries now
There ain't no feeling down

[Chorus]
I knew we had something
From the moment I met you
I knew we had something
No one thought it could be true
Hey do you believe
Do you believe in destiny?
Cause I do as I did then
When you were only 23Embed"
114,10.,The One Thing,3:12,Shakira,The One Thing,"18 ContributorsTranslationsEspañolThe One Thing Lyrics[Verse 1]
Every morning when I woke up
I was choked up
I was living without a purpose
Always jumping all the hurdles
Doing circles
In the dark with a broken compass

[Pre-Chorus 1]
I can't explain the way it feels
I could trip on my own words
I make mistakes, that much is clear
But I made it here, my love
Yeah, I made it here, my love

[Chorus]
You are the one thing that I got right
It's a fickle world, yeah, it's a fickle world
You turn the darkness into sunlight
I'm a lucky girl, yeah, I'm a lucky girl
And if I mess up everything someday
I won't hide my head in shame
'Cause you are the one thing that I got right
Right, right, right

[Post-Chorus]
(I, I, I) One thing I got right
(I, I, I) One thing I got right
You might also like[Verse 2]
Every morning when you wake up
I wanna hold you
I just need to be wrapped around you
It's kinda funny when you think that
You just got here
Now I know I can't live without you

[Pre-Chorus 2]
I can't explain the way it feels
I could choke on my own words
Sometimes it seems like it ain't real
Like you're really here, my love
Yeah, you're really here, my love

[Chorus]
You are the one thing that I got right
It's a fickle world, yeah, it's a fickle world
You turn the darkness into sunlight
I'm a lucky girl, yeah, I'm a lucky girl
And if I mess up everything someday
I won't hide my head in shame
'Cause you re the one thing that I got right (In my head, yeah)
Right, right, right (In my head, yeah)

[Bridge]
Every time I see your smile
Every time I hear your laugh
Baby, you bring in new sunshine over my way
You are the little dream
I had since I was a child
My fairytale comes true when I look at your face
I may not be here forever
But it'll be a long road together
I already know
We're gonna be fine, fine, fine
We're gonna be just fine, fine, fine
[Chorus]
You are the one thing that I got right (Hey)
It's a fickle world, yeah, it's a fickle world
You turn the darkness into sunlight (Hey)
I'm a lucky girl, yeah, I'm a lucky girl
And if I mess up everything someday
I won't hide my head in shame
'Cause you're the one thing that I got right
You are one thing I got right
If I mess up everything someday
I won't hide my head in shame
'Cause you are the one thing that I got right
'Cause you are the one thing that I got right

[Outro]
(I, I, I) One thing I got right
(I, I, I) One thing I got right2Embed"
115,11.,Nunca Me Acuerdo de Olvidarte,3:26,Shakira,Nunca Me Acuerdo de Olvidarte,"19 ContributorsNunca Me Acuerdo de Olvidarte Lyrics[Letra de ""Nunca Me Acuerdo de Olvidarte""]

[Verse 1]
Me temo que sí
Se trata de ti
Voy a repetir
El mismo error de ayer
Y como es natural
Suele suceder
Y no hay ciego peor
Que el que no quiere ver

[Pre-Chorus]
Heme aquí vencida
Casi convencida que intentarlo es inútil
Y digo yo, ¿qué pasa conmigo?
Mi peor castigo es que a donde vayas
Sabes, sabes que voy yo

[Chorus]
Oh ooh uh oh oh, oh ooh uh oh oh
Nunca me acuerdo de olvidarte
Oh ooh uh oh oh, oh ooh uh oh oh
Nunca aprendí como dejarte ir
Mi mundo gira así, alrededor de ti
Solo me acuerdo de una parte
Oh ooh uh oh oh, oh ooh uh oh oh
Y no me acuerdo de olvidarte
Y no me acuerdo de olvidarte
You might also like[Verse 2]
Salto del tren
Caigo en tu red
Y vuelvo a pisar la piedra que pisé
Y mi corazón, se vuelve a partir
Y no hay sordo peor
Que el que no quiere oír

[Pre-Chorus]
Estoy aquí vencida
Y casi convencida que no hay nadie más idiota
Aquí que yo
Muero por tu boca en la boca mía
Y lo intento todo, todo, todo, todo y no

[Chorus]
Oh ooh uh oh oh, oh ooh uh oh oh
Nunca me acuerdo de olvidarte
Oh ooh uh oh oh, oh ooh uh oh oh
Nunca aprendí como dejarte ir
Mi mundo gira así, alrededor de ti
Solo me acuerdo de una parte
Oh ooh uh oh oh, oh ooh uh oh oh
Y no me acuerdo de olvidarte

[Bridge]
Podría mentir
Matar o morir
Incluso algo mucho peor
Forzar el destino, perder el camino
Con tal de no perder tu amor
Y todos me dicen que no desperdicie
Que el tiempo les da la razón
Ya llegará el día
Que habrá otro en mi vida
Que me quiera más y mejor
[Chorus]
Oh ooh uh oh oh, oh ooh uh oh oh
Nunca me acuerdo de olvidarte
Oh ooh uh oh oh, oh ooh uh oh oh
Nunca aprendí como dejarte ir
Mi mundo gira así, alrededor de ti
Solo me acuerdo de una parte
Oh ooh uh oh oh, oh ooh uh oh oh
Y no me acuerdo de olvidarte
Mi mundo gira así, alrededor de ti
Solo me acuerdo de una parte
Oh ooh uh oh oh, oh ooh uh oh oh
Y no me acuerdo de olvidarte3Embed"
116,12.,Loca Por Ti,3:41,Shakira,Loca Por Ti,"17 ContributorsLoca por Ti Lyrics[Verso 1]
En la arena escribí
Lo que te llego a amar
Y aún no lo borra ni la sal del mar

[Verso 2]
Permíteme soñar
Que todavía estás aquí
Aún quiero seguir
Loca por ti

[Estribillo]
Sigo sola aquí en este bar
Me falta todo si faltas tú
Imagino tu cuerpo aquí
Con la luna a contra luz
Me quedaré
Bebiendo esta copa a tu salud

[Verso 3]
Sé que al amanecer
Mis lágrimas caerán
Y entre la lluvia se confundirán

[Verso 4]
Déjame continuar
Ebria y soñando aquí
Sabiendo que estoy loca por ti
You might also like[Estribillo]
Sigo sola aquí en este bar
Me falta todo si faltas tú
Imagino tu cuerpo aquí
Con la luna a contra luz
Me quedaré
Bebiendo esta copa a tu salud

[Estribillo]
Sigo sola aquí en este bar
Me falta todo si faltas tú
Imagino tu cuerpo aquí
Con la luna a contra luz
Y no me iré
Sin antes brindar a tu salud

[Outro]
Me bebo esta copa a tu salud1Embed"
117,1.,Me enamoré,3:46,El Dorado,Me enamoré,"32 ContributorsTranslationsEnglishMe Enamoré Lyrics[Letra de ""Me Enamoré""]

[Verso 1]
La vida me empezó a cambiar
La noche que te conocí
Tenía poco que perder
Y la cosa siguió así
Yo con mis sostén a rayas
Y mi pelo a medio hacer
Pensé: ""Este todavía es un niño""
Pero, ¿qué le voy a hacer?

[Pre-Coro]
Es lo que andaba buscando
El doctor recomendando
Creí que estaba soñando, oh-oh, oh-oh
¿De qué me andaba quejando?
No sé qué estaba pensando
Voy pa'l cielo y voy pateando, oh-oh, oh-oh

[Coro]
Me enamoré, me ena-na-namoré
Lo vi solito y me lancé
Me ena-na-namoré
Me ena-na-namo-
Mira que cosa bonita
Que boca más redondita
Me gusta esa barbita
Y bailé hasta que me cansé
Hasta que me cansé, bailé
Y me ena-na-namoré
Nos enamoramos
Un mojito, dos mojitos
Mira que ojitos bonitos
Me quedo otro ratito
You might also like[Verso 2]
Contigo yo tendría 10 hijos
Empecemos por un par
Solamente te lo digo
Por si quieres practicar

[Pre-Coro]
Lo único que estoy diciendo
Vayámonos conociendo
Es lo que he esta'o proponiendo, oh-oh, oh-oh
Nos vamos entusiasmando
Todo nos va resultando
Qué bien lo estamos pasando, oh-oh, oh-oh

[Coro]
Me enamoré, me ena-na-namoré
Lo vi solito y me lancé
Me ena-na-namoré
Me ena-na-namo-
Mira que cosa bonita
Que boca más redondita
Me gusta esa barbita
Y bailé hasta que me cansé
Hasta que me cansé, bailé
Me ena-na-namoré
Nos enamoramos
Un mojito, dos mojitos
Mira que ojitos bonitos
Me quedo otro ratito
[Post-Coro]
Nunca creí que fuera así
Cómo te fijarías en mí
Toda la noche lo pensé
Este es pa' mí o pa' más nadie
E-es pa' mí o pa' más nadie
Este es pa' mí o pa' más nadie
E-e-es pa' mí o pa' más nadie

[Coro]
Me enamoré, me ena-na-namoré
Lo vi solito y me lancé
Me ena-na-namoré
Me ena-na-namo-
Mira que cosa bonita
Que boca más redondita
Me gusta esa barbita
Y bailé hasta que me cansé
Hasta que me cansé, bailé
Me ena-na-namoré
Nos enamoramos
Un mojito, dos mojitos
Mira que ojitos bonitos
Me quedo otro ratito

[Post-Coro]
Nunca creí que fuera así
Cómo te fijarías en mí
Toda la noche lo pensé
Este es pa' mí o pa' más nadie
E-es pa' mí o pa' más nadie
Este es pa' mí o pa' más nadie
E-e-es pa' mí o pa' más nadie15Embed"
118,2.,Nada,3:10,El Dorado,Nada,"20 ContributorsTranslationsEnglishNada Lyrics[Letra de ""Nada""]

[Verse 1]
Voy caminando sobre un mar de hojas secas
Vuelan los ángeles sobre Berlín
Van entonando junto a mí un aleluya
Mientras la lluvia cae dentro de mí

[Pre-Chorus 1]
Extraño tu voz
Estoy en tierra de nadie
Me falta hasta el aire
De espaldas al sol
Pasa otro día sin tí

[Chorus]
No sirve de nada llegar aún más lejos
Ni toda la fama, ni todo el dinero
No sirve de nada si no estás conmigo
Y la soledad se me clava en los huesos
No sirve de na ah-ah nada
Na ah-ah nada
Oh oh Na-a-a-da no oh
Na-a-a-da
No, no, no, no
You might also like[Verse 2]
Nadie adivina que depara el destino
Nuestro camino aún esta a medio hacer
Tiro mi bolso Chanel del barrio chino
Al suelo mojado y me lanzo a correr

[Pre-Chorus 2]
Extraño tu voz
Me hace falta tocarte
Olerte, mirarte
De espaldas al sol
Acaba otro día sin ti

[Chorus]
No sirve de nada llegar aún más lejos
Ni toda la fama, ni todo el dinero
No sirve de nada si no estás conmigo
Y la soledad se me clava en los huesos
No sirve de na ah-ah nada
Ah ah-ah nada
Oh oh na-a-a-da no oh

[Chorus]
No sirve de nada llegar aún más lejos
Ni toda la fama, ni todo el dinero
No sirve de nada si no estás conmigo
Y la soledad se me clava en los huesos
No sirve de na ah-ah nada
Ah ah-ah nada
Oh oh na-a-a-da no oh
Na-a-a-da
No, no, no, no5Embed"
119,3.,Chantaje (con Maluma),3:15,El Dorado,Chantaje,"71 ContributorsTranslationsFrançaisEnglishDeutschChantaje Lyrics[Letra de ""Chantaje"" ft. Maluma]

[Intro]
(Rudeboyz)

[Verso 1: Maluma]
Cuando estás bien, te alejas de mí
Te sientes sola y siempre 'toy ahí
Es una guerra de toma y dame
Pues dame de eso que tiene' ahí
Oye, baby, no seas mala (Oh, no)
No me dejes con la' gana'
Se escucha en la calle que ya no me quieres
Ven y dímelo en la cara

[Pre-Coro: Shakira & Maluma]
Pregúntale a quien tú quieras
Vida, te juro que eso no es así
Yo nunca tuve una mala intención
Yo nunca quise burlarme de ti
Conmigo ves, nunca se sabe
Un día digo que no y otro que sí
Yo soy masoquista
Con mi cuerpo, un egoísta

[Coro: Shakira, Maluma & Ambos]
Tú eres puro, puro chantaje
Puro, puro chantaje
Siempre es a tu manera
Yo te quiero aunque no quiera
Tú eres puro, puro chantaje
Puro, puro chantaje
Vas libre como el aire
No soy de ti ni de nadie
You might also like[Verso 2: Maluma & Shakira]
Como tú me tientas cuando tú te mueves
Esos movimientos sexys, siempre me entretienen
Sabes manipularme bien con tus caderas
No sé por qué me tienes en lista de espera
Te dicen por ahí que voy haciendo y deshaciendo
Que salgo cada noche, que te tengo ahí sufriendo
Que en esta relación soy yo la que manda
No pares bola' a toda esa mala propaganda

[Puente: Shakira & Maluma]
Pa', pa' que te digo na', te comen el oído
No vaya a enderezar lo que no se ha torcido
Y como un loco sigo tras de ti, muriendo por ti
Dime qué hay pa' mí, bebé (¿Qué?)

[Pre-Coro: Shakira & Maluma]
Pregúntale a quien tú quieras
Vida, te juro que eso no es así
Yo nunca tuve una mala intención
Yo nunca quise burlarme de ti
Conmigo ves, nunca se sabe
Un día digo que no, y otro que sí
Yo soy masoquista
Con mi cuerpo, un egoísta
[Coro: Shakira, Maluma & Ambos]
Tú eres puro, puro chantaje
Puro, puro chantaje
Siempre es a tu manera
Yo te quiero aunque no quiera
Tú eres puro, puro chantaje
Puro, puro chantaje
Vas libre como el aire
No soy de ti ni de nadie

[Post-Coro: Shakira & Ambos]
Eh-eh-eh, nadie
Eh-eh-eh, nadie
Eh-eh-eh, nadie
Con mi cuerpo, un egoísta

[Coro: Shakira, Maluma & Ambos]
Tú eres puro, puro chantaje
Puro, puro chantaje
Siempre es a tu manera
Yo te quiero aunque no quiera
Tú eres puro, puro chantaje
Puro, puro chantaje
Vas libre como el aire
No soy de ti ni de nadie
[Post-Coro: Shakira & Ambos]
Eh-eh-eh, nadie
Eh-eh-eh, nadie
Eh-eh-eh, nadie
Eh-eh-eh-eh-eh-eh

[Outro: Shakira & Maluma]
(Alright, alright, baby, Shakira, Maluma)
Pretty boy
(You're my baby loba, Colombia, Rudeboyz, you feel me?)
Pretty boy30Embed"
120,4.,When a Woman,3:18,El Dorado,When a Woman,"16 ContributorsTranslationsEspañolWhen a Woman Lyrics[Intro]
When a woman, when a woman loves
When a woman, when a woman loves a man
When a woman, when a woman loves
When a woman, when a woman loves a man

[Verse 1]
Manipulate and cause you pain
But lift you up when you're hurting
Scream goodbye, laugh when you cry
But cool the tears when they're burning
I felt it deep inside of me
Like an explosion of crazy
All of this fire that you give
I feel it deep

[Pre-Chorus]
'Cause only a woman can get this dark
Only a woman can cause these scars
Only a woman can love this hard
Only a woman
Yeah, when this woman loves a man
She'll take you to hell and back
Take you to hell and back

[Chorus]
When a woman, when a woman loves
When a woman, when a woman loves a man
Only a woman, only a woman knows
How a woman is supposed to love a man
When a woman, when a woman loves
When a woman, when a woman loves a man
Only a woman, only a woman knows
Oh-oh
You might also like[Verse 2]
No need to hear my apologies
For being so damn complicated
The ups and downs, the outs and ins
It's what it is

[Pre-Chorus]
'Cause only a woman can get this dark
Only a woman can cause these scars
Only a woman can love this hard
Only a woman
Yeah, when this woman loves a man
She'll take you to hell and back
Take you to hell and back

[Chorus]
When a woman, when a woman loves
When a woman, when a woman loves a man
Only a woman, only a woman knows
How a woman is supposed to love a man
When a woman, when a woman loves
When a woman, when a woman loves a man
Only a woman, only a woman knows
Oh-oh

[Bridge]
And even when you won't admit
You know you're gonna need
To be next to the only woman who can make you feel that kind of fire
No, you won't get tired
And when you think it's all I got
I'll bring it up a notch
I'll take you on a crazy ride, you'll never get enough
Oh baby, I'm your girl
And this is how I show my love
[Pre-Chorus]
'Cause only a woman can get this dark
Only a woman can cause these scars
Only a woman can love this hard
Only a woman
Yeah, when this woman loves a man
She'll take you to hell and back
Take you to hell and back

[Chorus]
When a woman, when a woman loves
When a woman, when a woman loves a man
Only a woman, only a woman knows
How a woman is supposed to love a man
When a woman, when a woman loves
When a woman, when a woman loves a man
Only a woman, only a woman knows
Oh-oh3Embed"
121,5.,Amarillo,3:40,El Dorado,Amarillo,"23 ContributorsTranslationsEnglishAmarillo Lyrics[Letra de ""Amarillo""]

[Verse 1]
¿Qué será lo que fabricas tú?
¿Lo que te hace tan especial?
Cuando hablo o pienso en ti
Es imposible ser imparcial
No es un daño de la percepción
Tampoco falta de sentido común
Te has vuelto todo y más allá
El mundo lo sabe, no es ningún tabú

[Pre-Chorus]
Es tan irreal
Lo que me hace extrañarte así cuando no estás
Lo que me hace idolatrarte así, es todo tú
Estoy perdida, vivo anclada a ti, así como un pájaro a su cielo azul
T'estimo

[Chorus]
Amarillo, me tienes en los bolsillos
Morado, ya me olvidé del pasado
En rojo, por que me sangran los ojos de llorarte
Cuando no estás a mi lado
Celeste, cuésteme lo que me cueste
Dorado, porque no pienso perderte
Tu amor es un arco iris de colores
Y me muero por tenerte
You might also like[Verse 2]
Es delicioso verte llegar
Ver los efectos que causas tú
Con tu sonrisa angelical llenas la habitación de luz
Solo en ti encuentro satisfacción
Hay tanto por descubrir aún
Es todo una dulce confusión
Y tu piel es la plenitud

[Pre-Chorus]
Eres irreal
Lo que me hace enamorarme cada día más
Lo que me hace adorarte así, es todo tú
Estoy perdida, vivo anclada a ti, así como un pájaro a su cielo azul
T'estimo

[Chorus]
Amarillo, me tienes en los bolsillos
Morado, ya me olvidé del pasado
En rojo, por que me sangran los ojos de llorarte
Cuando no estás a mi lado
Celeste, cuésteme lo que me cueste
Dorado, porque no pienso perderte
Tu amor es un arco iris de colores
Y me muero por tenerte
[Outro]
Es tan irreal
Lo que me hace enamorarme cada noche más
Lo que me hace adorarte así, es todo tú
Estoy perdida, vivo anclada a ti, así como un pájaro a su cielo azul
T'estimo6Embed"
122,6.,Perro fiel (con Nicky Jam),3:16,El Dorado,Perro fiel,"21 ContributorsTranslationsEnglishPerro Fiel Lyrics[Letra de ""Perro Fiel"" ft. Nicky Jam]

[Verso 1: Shakira & Nicky Jam]
Aquí estás
Ya no puedes detenerte
¿Dónde vas? Si estoy loco por tenerte
Cómo lo iba a saber
Que te vería otra vez

[Coro: Shakira & Nicky Jam]
Tú me confundes, no sé qué hacer
Yo lo que quiero es pasarla bien
Yo tengo miedo de que me guste
Y que vaya a enloquecer
Si eso pasa yo seguiré
Contigo aquí como un perro fiel
Yo tengo miedo de que me guste
Y que vaya a enloquecer

[Verso 2: Shakira & Nicky Jam]
Te hablo en serio mai, no estoy jugando
Tanto tiempo pasa y nada
Estas ganas no me aguanto
Y aunque tú me esquives, yo te sigo deseando
Dicen que tú eres peligrosa
No le hago caso a esas cosas
Dime qué está pasando
Me tienes como un loco, soy un loco enamorado, eh
Quiero saber cuánto me vas a insistir
Y hasta dónde llegarías por mí
Siento mucho la espera
Pero valdrá la pena cuando te esté besando
De la manera que te mueves así
Yo te lo juro me voy a derretir
Tú sabes que soy buena
Por más que yo te esquive me sigues deseando
You might also like[Coro: Shakira & Nicky Jam]
Tú me confundes, no sé qué hacer
Yo lo que quiero es pasarla bien
Yo tengo miedo de que me guste
Y que vaya a enloquecer
Si eso pasa yo seguiré
Contigo aquí como un perro fiel
Yo tengo miedo de que me guste
Y que vaya a enloquecer

[Puente: Shakira]
Enloque-que-quecer
Yo no pido nada extraordinario
Solo un hombre de verdad
Que se tire por mí al barro
Que cambie las bombillas y hasta que me lave el carro
Quiero un tipo atento y cariñoso
Pero que no sea muy celoso
Que en la calle sea un príncipe
Pero que en mi cama sea salvaje y peligroso

[Verso 3: Shakira & Nicky Jam]
Puedes pedir lo que quieras de mí
Yo haría lo que fuera para ti
Siento mucho la espera
Pero valdrá la pena cuando te esté besando
Yo estoy seguro que estoy hecho pa' ti
Yo te lo juro no te haré sufrir
Como te dije nena
Por más que tú me esquives, te sigo deseando
[Coro: Shakira & Nicky Jam]
Tú me confundes, no sé qué hacer
Yo lo que quiero es pasarla bien
Yo tengo miedo de que me guste
Y que vaya a enloquecer
Si eso pasa yo seguiré
Contigo aquí como un perro fiel
Yo tengo miedo de que me guste
Y que vaya a enloquecer

[Puente: Shakira & Nicky Jam]
Enloque-que-quecer
Aquí estás
Ya no puedes detenerte
¿Dónde vas? (¡Oh!)
Si estoy loco por tenerte8Embed"
123,7.,Trap (con Maluma),3:20,El Dorado,Trap,"31 ContributorsTranslationsEnglishTrap Lyrics[Letra de ""Trap"" ft. Maluma]

[Intro: Shakira]
Quiere que lo hagamo' en diferentes partes
Pero estoy cansada de desilusiones
Hace mucho tiempo no creo en los hombres
Y no necesito de este mal de amores

[Verso 1: Maluma]
Me pide y yo le doy
Sabe que siempre aquí estoy
Casi siempre llama tarde y nunca cambia al Dirty Boy
Quiero besarte, satisfacerte
Oye, baby, no me niegues, vámonos

[Coro: Maluma & Shakira]
Quiere que se lo haga en diferentes partes
Ella está cansada de desilusiones
No quiere saber de un rompe corazones
Llámame cuando quiera', beba
Quiere que lo hagamo' en diferentes partes
Pero estoy cansada de desilusiones
No quiero saber de un rompe corazones
Llámame cuando quiera', beba

[Verso 2: Maluma, Maluma & Shakira]
Tu muévete encima 'e mí
Compláceme, ay, bebé
Tu muévete encima 'e mí
Compláceme
Cuando tú quieras
Baby, vámonos, perdámonos
De la realidad escapémonos
En la cama tú y yo matémonos
Con eso que naciste, dámelo
You might also like[Coro: Maluma, Maluma & Shakira]
Quiere que se lo haga en diferentes partes
Ella está cansada de desilusiones
No quiere saber de un rompe corazones
Llámame cuando quiera', beba
Quiere que se lo haga en diferentes partes
Ella está cansada de desilusiones
No quiere saber de un rompe corazones
Llámame cuando quiera', beba

[Verso 3: Shakira & Maluma, Ambos]
Dale una prueba, ponle Nutella
Tú solo disfruta que las horas vuelan
Vuelan, vuelan, vuelan, ah
(Haciéndolo)
Inolvidable aventura, 35 mil pies de altura
A velocidad crucero pude ver como te desnudas
No espero menos de ti
Me gusta hacerte sentir
Y si firmo el contrato, contigo quiero repetir

[Interludio Instrumental: Shakira]
Ah, ah, ah, ah, ah
Ah
Ah, ah, ah, ah, ah
Ah
[Coro: Maluma & Shakira, Ambos]
Quiere que se lo haga en diferentes partes
Pero estoy cansada de desilusiones
No quiero saber de un rompe corazones
Llámame cuando quiera', beba
Quiere que se lo haga en diferentes partes
Ella está cansada de desilusiones
No quiere saber de un rompe corazones
Llámame cuando quiera', beba5Embed"
124,8.,Comme moi (con Black M),3:09,El Dorado,Comme moi,"23 ContributorsTranslationsEnglishComme moi Lyrics[Refrain : Shakira]
I'm leaving with a broken heart
Never meant to do you harm
Don't ever wanna see you cry, again
And everybody hurts sometimes
I never meant to do you wrong
I know you're gonna be just fine, he said

[Couplet 1 : Black M]
J'ai prié pour nous, tard le soir
Tu m'as tourné le dos plus d'une fois
Personne ne t'aimera comme moi
Personne ne t'aimera comme moi
Maintenant faut me laisser m'en aller
Faut me laisser, t'es condamnée
Tu m'as délaissé depuis tant d'années
Mais saches que personne ne t'aimera comme moi
Maintenant faut me laisser m'en aller
Faut me laisser, t'es condamnée
Tu m'as délaissé depuis tant d'années
Mais saches que personne ne t'aimera comme moi

[Refrain : Shakira]
I'm leaving with a broken heart
Never meant to do you harm
Don't ever wanna see you cry, again
And everybody hurts sometimes
I never meant to do you wrong
I know you're gonna be just fine, he said
See Black M LiveGet tickets as low as $87You might also like[Couplet 2 : Black M]
J'avais des problèmes, tu t'en foutais
Des problèmes de riches, on m'a vu manger seul au Fouquet's
Pour toi j'aurai tout fait, je me serai laisser étouffé
Façon de parler, mais tous les hommes sont pas pareils
Rends-moi la pareil ou alors on arrête
Je m'étais juré que tu serais la seule dans mon harem
Oui, tu ressembles à ma reum, c'est pour ça, j'suis piqué
Mais dis-moi de quoi t'as reu-p', on est juste en train de s'expliquer

[Refrain : Shakira]
I'm leaving with a broken heart
Never meant to do you harm
Don't ever wanna see you cry, again
And everybody hurts sometimes
I never meant to do you wrong
I know you're gonna be just fine, he said

[Couplet 3 : Shakira & Black M]
I wish we could go back in time
See the world with different eyes
Knowing what we both know now
Could've made it work somehow
But we said what we said
And what we made, we can't unmake
And what we get is what we gave
And this is that we're stuck with now
Maintenant faut me laisser m'en aller
Faut me laisser, t'es condamnée
Tu m'as délaissé depuis tant d'années
Mais saches que personne ne t'aimera comme moi
[Bridge : Shakira]
Do you remember
How you used to get lost in my eyes (I remember)
Do you remember
How you promised you'd never say goodbye?
I remember, I remember, I remember

[Outro : Black M et Shakira]
Faut me laisser m'en aller
Faut me laisser, t'es condamnée
Tu m'as délaissé depuis tant d'années
Mais saches que personne ne t'aimera comme moi
But we said, whatever that we said
And what we made, you know we can’t unmake
And what we get is only what we gave
Mais saches que personne ne t'aimera comme moi6Embed"
125,9.,Coconut Tree,3:50,El Dorado,Coconut Tree,"14 ContributorsTranslationsEspañolCoconut Tree Lyrics[Verse 1]
We hid on a plane
Flying across the sky
Searching for islands where we could land
Too far away to be found
We took off our clothes and danced like if we'd gone mad
Took a dip in the ocean
To wash away all the sand

[Pre-Chorus]
I'm not alone
Not anymore this time
I found my love

[Chorus]
Under a coconut tree
Where we created a universe
Hiding from all of that
Where nothing mattered but you and me
Make it like it used to be
Give me a time machine
With you and I riding on a dream
Only you and me
Under a coconut tree
Oooh
Oooh
Oooh
You might also like[Verse 2]
It's like we designed the anatomy of a dream
As crazy in love as we'd ever be
Inside a fantasy
Under the stars
Floating above the sea
And we were lost like
We always dreamed to be

[Pre-Chorus]
I'm not alone
I say to myself
I found my home

[Chorus]
Under a coconut tree
Where we created a universe
Hiding from all of that
Where nothing mattered but you and me
Oh, make it like it used to be
Give me a time machine
With you and I riding on a tree
Only you and me
Under a coconut tree
Oooh
Oooh
Oooh
[Bridge]
Oooh
Sha-la-la-la-la-la-la
Sha-la-la-la-la-la-la
Sha-la-la-la-la-la-la

[Outro]
We hid on a plane
Flying across the sky
Searching for islands where we could land1Embed"
